;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
182;Teymuraz Gabashvili;RUS;1;5;1;2;11;2.2;15;3.0;0.61;0.68;0.47;0.72;0.37;0.53;0.28;0.49;0.22
183;Di Wu;CHN;2;4;3;1;0;0.0;5;2.5;0.55;0.52;0.41;0.44;0.43;0.5;0.2;0.46;0.18
184;Javier Marti;ESP;1;5;1;1;14;2.3;11;1.8;0.62;0.63;0.43;0.61;0.38;0.33;0.35;0.48;0.28
185;Hiroki Moriya;JPN;1;3;1;0;7;1.8;15;3.8;0.63;0.66;0.47;0.71;0.31;0.65;0.21;0.43;0.08
186;Sergei Bubka;UKR;2;8;1;2;53;6.6;18;2.3;0.59;0.72;0.45;0.69;0.38;0.42;0.24;0.51;0.15
187;Adrian Menendez-Maceiras;ESP;0;1;0;1;2;2.0;5;5.0;0.58;0.61;0.45;0.64;0.2;0.5;0.24;0.36;0.07
188;Adrian Mannarino;FRA;1;7;0;1;29;3.6;21;2.6;0.6;0.66;0.4;0.6;0.32;0.46;0.24;0.46;0.15
189;Ivo Minar;CZE;1;2;1;2;17;8.5;2;1.0;0.66;0.71;0.54;0.81;0.33;0.44;0.34;0.49;0.3
190;Donald Young;USA;5;24;5;8;63;2.2;119;4.1;0.61;0.64;0.43;0.64;0.33;0.54;0.31;0.48;0.21
191;Gianluca Naso;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
192;Rhyne Williams;USA;0;2;1;0;16;8.0;4;2.0;0.59;0.76;0.5;0.79;0.13;0.57;0.18;0.52;0.03
193;Andrej Martin;SVK;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
194;Jan Hernych;CZE;2;1;0;0;7;2.3;12;4.0;0.57;0.59;0.48;0.63;0.45;0.69;0.39;0.43;0.27
195;Facundo Arguello;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
196;Amir Weintraub;ISR;3;1;1;1;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
197;Yuki Bhambri;IND;4;2;3;1;4;2.0;4;2.0;0.6;0.67;0.53;0.65;0.36;0.14;0.4;0.42;0.31
198;Yannick Mertens;BEL;0;1;0;0;1;1.0;2;2.0;0.68;0.67;0.61;0.78;0.0;0.71;0.24;0.43;0.0
199;Arnau Brugues-Davi;ESP;0;1;0;1;3;3.0;2;2.0;0.7;0.63;0.63;0.82;0.33;0.71;0.15;0.43;0.09
200;Marco Trungelliti;ARG;1;1;0;1;3;1.5;9;4.5;0.47;0.6;0.48;0.58;0.48;0.5;0.42;0.53;0.44
