"PC1","PC2","PC3","PC4","PC5","class"
-0.730127268348255,-0.0737733550629735,0.28462146940797,0.236469404160021,0.0623493124594083,"W"
-0.631912688176584,-0.159223901903521,0.241312538607964,0.280441131982295,0.0690290921173302,"W"
-0.903691364972401,0.113793530926545,0.199998524028092,0.32490910270586,-0.0051297407705343,"W"
-0.879041618212698,0.0896521879547505,0.201395906758912,0.315574370463767,0.0522550170659527,"W"
-0.94345339855472,0.16153950374734,0.524292341011638,-0.0389528311190615,0.269227458886916,"L"
-0.441198168898297,-0.344779096811194,0.238407445756399,0.284061884498232,0.0953273618137074,"W"
-0.495126624448589,-0.279815526120447,0.169498413681119,0.335560063396007,0.197977274297801,"W"
-0.753213243649999,-0.0522998982207102,0.191990525211494,0.341328656017273,-0.0272558586880251,"W"
-0.730127268348255,-0.0737733550629735,0.28462146940797,0.236469404160021,0.0623493124594083,"L"
-0.665735312771614,-0.124322466592912,0.102282600207733,0.432097253829768,-0.0287901519647284,"W"
-0.292288867882539,-0.490245647441655,0.274543602189393,0.249894969153595,0.118006453588326,"W"
-0.631912688176584,-0.159223901903521,0.241312538607964,0.280441131982295,0.0690290921173302,"W"
-0.316372149763323,-0.456118305891051,0.303473262179703,0.200994338765164,0.242398864439451,"W"
-0.635297431820035,-0.154532768293393,0.209817207125542,0.311570919257282,0.0746506455722426,"W"
-0.41768211396386,-0.371433472748361,0.359507072622688,0.159007015386589,0.142041569539035,"W"
-0.903691364972401,0.113793530926545,0.199998524028092,0.32490910270586,-0.0051297407705343,"W"
-0.94345339855472,0.16153950374734,0.524292341011638,-0.0389528311190615,0.269227458886916,"L"
-0.38825189432873,-0.382224914591006,0.198908272129888,0.314878423374197,0.165190458120197,"W"
-0.192513974083228,-0.572385269033032,0.193109818786421,0.31590762857362,0.23859744791619,"W"
-0.396586620203772,-0.37590423308413,0.224026126930274,0.293301781024477,0.143159340484503,"W"
-0.635297431820035,-0.154532768293393,0.209817207125542,0.311570919257282,0.0746506455722426,"W"
-0.228780656778551,-0.532365699678083,0.296886033256904,0.202103830307104,0.300344644735126,"W"
-0.753213243649999,-0.0522998982207102,0.191990525211494,0.341328656017273,-0.0272558586880251,"W"
-0.94345339855472,0.16153950374734,0.524292341011638,-0.0389528311190615,0.269227458886916,"W"
-0.313955356033866,-0.464979462879453,0.129976758326964,0.397277023232502,0.0862649977309113,"W"
-0.546131753741693,-0.226443704420763,0.397829687178638,0.0998701977561718,0.245678085093148,"W"
-0.879041618212698,0.0896521879547505,0.201395906758912,0.315574370463767,0.0522550170659527,"W"
-0.903691364972401,0.113793530926545,0.199998524028092,0.32490910270586,-0.0051297407705343,"W"
-0.861456854818532,0.0890730976873802,0.121588799675546,0.406036363747331,-0.0251099841463161,"W"
-0.179495296899883,-0.590195392352667,0.110298431660849,0.412353098978127,0.142803404578739,"W"
-0.495126624448589,-0.279815526120447,0.169498413681119,0.335560063396007,0.197977274297801,"W"
