j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.68,0.2,0.71,0.83,0.45,0.31,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.4,0.6,0.3,0.73,0.81,0.39,0.23,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.69,0.69,0.78,0.87,0.39,0.25,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.72,0.55,0.79,0.92,0.44,0.26,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.92,0.46,0.75,0.89,0.48,0.37,1.0,L
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.6,0.48,0.17,0.71,0.76,0.33,0.2,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.6,0.52,0.16,0.81,0.88,0.48,0.18,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.71,0.32,0.72,0.83,0.41,0.28,0.33,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.68,0.2,0.71,0.83,0.45,0.31,0.5,L
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.4,0.5,0.5,0.76,0.81,0.38,0.25,0.33,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.8,0.5,0.09,0.65,0.68,0.33,0.21,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.4,0.6,0.3,0.73,0.81,0.39,0.23,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.8,0.43,0.05,0.67,0.79,0.41,0.23,0.67,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.4,0.52,0.33,0.72,0.82,0.49,0.22,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.6,0.46,0.1,0.65,0.68,0.42,0.21,0.67,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.69,0.69,0.78,0.87,0.39,0.25,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.92,0.46,0.75,0.89,0.48,0.37,1.0,L
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.8,0.52,0.25,0.72,0.79,0.41,0.21,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,1.0,0.44,0.04,0.7,0.76,0.5,0.13,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.8,0.57,0.28,0.72,0.74,0.38,0.22,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.4,0.52,0.33,0.72,0.82,0.49,0.22,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,1.0,0.5,0.06,0.71,0.74,0.46,0.2,0.67,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.71,0.32,0.72,0.83,0.41,0.28,0.33,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.92,0.46,0.75,0.89,0.48,0.37,1.0,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.8,0.46,0.16,0.7,0.76,0.37,0.19,0.33,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.6,0.62,0.25,0.73,0.82,0.36,0.17,0.83,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.72,0.55,0.79,0.92,0.44,0.26,0.5,W
0.2,0.92,0.1,0.74,0.88,0.45,0.32,0.83,0.2,0.69,0.69,0.78,0.87,0.39,0.25,0.5,W
