"","PC1","PC2","PC3","PC4","PC5","class"
"1",-0.831126676477844,-0.326326153840887,0.301476316644176,-0.220555442926458,-0.241535037216869,"W"
"2",-0.686374450011989,-0.451460792521871,0.358977276197874,-0.256134975021168,0.041785084448919,"W"
"3",-0.452787329994029,-0.681143295350053,0.322199224933253,-0.31466444875692,0.0914545164043909,"W"
"4",-0.929920027724935,-0.232510037054779,0.421596451671515,-0.120267954578996,-0.187962572167477,"W"
"5",-0.445146715973466,-0.707767788758933,0.123459074837597,-0.40232496044498,-0.271814891438796,"W"
"6",-0.472367098087752,-0.660329123311657,0.215046422258802,-0.395915912855614,0.00747573053224225,"W"
"7",-0.761368734220812,-0.382721680013569,0.384502384566233,-0.204393471470605,-0.0336428037335634,"W"
"8",0.213408952064347,-1.38420371761617,0.457862769575705,-0.00175548077109955,-0.407240526108295,"W"
"9",-0.573731069078707,-0.566761171721419,0.228437420504723,-0.354298879173287,-0.0763712208549793,"W"
"10",-1.0365330496219,-0.108108793832556,0.458740552527389,-0.0785510656659976,-0.114274113396473,"W"
"11",-0.831126676477844,-0.326326153840887,0.301476316644176,-0.220555442926458,-0.241535037216869,"W"
"12",-0.795980932339222,-0.35898663210909,0.408976698158583,-0.148370836093073,-0.132650757453882,"W"
"13",-0.557280050484815,-0.570500731108659,0.379941616762392,-0.297523805454649,0.217088555329441,"L"
"14",-0.686374450011989,-0.451460792521871,0.358977276197874,-0.256134975021168,0.041785084448919,"W"
"15",-1.03946951289051,-0.122296441735183,0.362988691570558,-0.115264135603241,-0.333225681775953,"L"
"16",-0.707696726091575,-0.438790728776547,0.256474979006392,-0.297418188640362,-0.152519507185103,"W"
"17",-0.600311937751263,-0.554400395751195,0.217654592594001,-0.320768225628767,-0.227976067939217,"W"
"18",-0.557280050484815,-0.570500731108659,0.379941616762392,-0.297523805454649,0.217088555329441,"W"
"19",-0.948292049477155,-0.21317898855009,0.418811824281354,-0.145135836183279,-0.140762478988927,"W"
"20",-0.755883081536108,-0.389991280999152,0.349115840948213,-0.216451017683625,-0.0921852237289923,"W"
"21",-1.04014971581929,-0.109610215300126,0.35265712800016,-0.119888360335115,-0.301876312784893,"W"
"22",-0.708114800414373,-0.440510625097072,0.272486643803911,-0.265932902174891,-0.184462269166572,"W"
"23",-0.54319950615049,-0.598713698118372,0.406417495922042,-0.216144762496249,0.0486530792006761,"W"
"24",-0.759882632699437,-0.398175542749547,0.269765264279251,-0.253172264970877,-0.252661687113107,"W"
"25",-0.687845933465748,-0.458286770365639,0.375107326761783,-0.206144454402908,-0.0601947473406557,"W"
"26",-0.522415204114498,-0.622414700829309,0.159187612080454,-0.400281839361534,-0.162589178549686,"W"
"27",-0.708114800414373,-0.440510625097072,0.272486643803911,-0.265932902174891,-0.184462269166572,"W"
"28",-0.542248520576269,-0.619251549497589,0.192058113554509,-0.318391686110986,-0.319902249546464,"W"
"29",-0.346720261951506,-0.373820003041934,0.183123930877735,-0.127075228773228,0.191866228328686,"W"
"30",-0.621650212034094,-0.103186650387605,0.190236232872368,-0.0592845515336605,0.0595588366684813,"L"
"31",-0.706827515049452,-0.0413439905492655,0.176755465601603,-0.00806639214474642,-0.169395143265139,"W"
"32",-0.21867830155983,-0.502335028099482,0.258915503877165,-0.0759353655219511,0.268612678035281,"W"
"33",-0.436176806113785,-0.300334784027623,0.0769370759319512,-0.166514780743054,-0.0249937539881835,"L"
"34",-0.504345864459111,-0.227331636546984,0.103474840795518,-0.120797065991612,-0.0436997901776345,"W"
"35",-0.338479584621007,-0.4060725609475,0.0230463105461159,-0.173255849927708,-0.179139770557526,"W"
"36",-0.948292049477155,0.213178988550085,0.418811824281355,0.145135836183269,0.140762478988943,"L"
"37",-0.395906475825114,-0.344869421334644,-0.065632187482346,-0.24610961356065,-0.218032207327678,"W"
"38",-0.643541724219795,-0.0986592995979775,0.088567794667098,-0.0807678409723241,-0.203977878959901,"L"
"39",-0.394028393003182,-0.330628674334504,0.111399546537107,-0.15375225651685,0.0680804834350264,"W"
"40",-0.482605514056727,-0.238281803971783,0.189965473189481,-0.11099913883789,0.182547563437857,"W"
"41",-0.55759979826555,-0.169542691463481,0.21549058155784,-0.0592576352873268,0.107119675255375,"W"
"42",-0.306834629508118,-0.425876926623722,-0.0426414552433764,-0.265640840004968,-0.0963289051054985,"W"
"43",-0.276552478907035,-0.454200315031086,0.13397629088549,-0.135753715670041,0.0611893386564377,"W"
"44",-0.332454231708009,-0.382634009827274,0.0846694934039615,-0.218651089326642,0.174821781812324,"W"
"45",-0.21867830155983,-0.502335028099482,0.258915503877165,-0.0759353655219511,0.268612678035281,"W"
"46",-0.482605514056727,-0.238281803971783,0.189965473189481,-0.11099913883789,0.182547563437857,"W"
"47",-0.468047372081683,-0.224674877627074,0.247391088041402,-0.0660899602350234,0.171021623390864,"W"
"48",-0.586382133093175,-0.113973248216967,0.199221928039444,-0.066235381055431,0.0362150393136967,"W"
"49",-0.545295648654963,-0.14087899997485,0.282819107354304,-0.0436208062509524,0.235544487621249,"W"
"50",-0.258180457154816,-0.434869266526398,0.136760918275649,-0.160621597274323,0.108389431834992,"W"
"51",-0.569965689248831,-0.103285005392022,0.237000873358001,-0.0857110022763386,0.266541793738407,"W"
"52",-0.608985718770362,-0.09381611678611,0.135249141025942,-0.100287488347461,-0.053572465049376,"W"
"53",-0.417804784361566,-0.281003735522935,0.0797217033221108,-0.191382662347336,0.0222063391903711,"W"
