ranking;jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
72;Lukasz Kubot;POL;10;20;6;5;170;6.5;117;4.5;0.62;0.68;0.46;0.71;0.4;0.53;0.29;0.51;0.23
73;Dudi Sela;ISR;4;10;2;2;16;1.5;39;3.5;0.61;0.63;0.46;0.63;0.34;0.51;0.31;0.5;0.26
74;Tobias Kamke;GER;17;22;6;5;85;2.2;98;2.6;0.61;0.66;0.49;0.74;0.43;0.6;0.3;0.52;0.26
75;Viktor Troicki;SRB;19;19;7;7;240;6.7;76;2.1;0.6;0.71;0.47;0.75;0.39;0.55;0.33;0.47;0.24
76;Teymuraz Gabashvili;RUS;2;2;0;2;21;5.3;10;2.5;0.61;0.65;0.56;0.81;0.24;0.67;0.31;0.45;0.18
77;Daniel Gimeno-Traver;ESP;14;27;7;11;229;5.6;150;3.7;0.58;0.71;0.48;0.75;0.38;0.59;0.29;0.48;0.2
78;Ivo Karlovic;CRO;15;13;18;11;485;17.3;96;3.4;0.65;0.82;0.54;0.91;0.28;0.65;0.21;0.4;0.07
79;Benjamin Becker;GER;9;20;7;11;211;7.3;89;3.1;0.57;0.74;0.48;0.77;0.38;0.55;0.24;0.47;0.16
80;Victor Hanescu;ROU;18;26;11;15;155;3.6;47;1.1;0.7;0.68;0.5;0.79;0.32;0.59;0.27;0.45;0.17
81;Lukas Lacko;SVK;14;17;6;2;154;5.7;76;2.8;0.58;0.7;0.47;0.73;0.37;0.57;0.27;0.49;0.19
82;Andrey Golubev;KAZ;5;5;2;3;21;3.0;12;1.7;0.64;0.74;0.54;0.84;0.31;0.65;0.25;0.51;0.17
83;Albert Ramos-Vinolas;ESP;20;23;8;9;141;3.4;97;2.4;0.61;0.7;0.51;0.76;0.4;0.54;0.3;0.49;0.23
84;Kenny De Schepper;FRA;8;15;5;5;203;8.8;112;4.9;0.64;0.72;0.51;0.83;0.34;0.7;0.24;0.42;0.11
85;Jiri Vesely;CZE;0;7;2;1;29;5.8;28;5.6;0.61;0.68;0.41;0.68;0.5;0.57;0.22;0.49;0.16
86;Julian Reister;GER;3;6;2;4;44;4.9;31;3.4;0.7;0.65;0.49;0.72;0.29;0.65;0.31;0.46;0.17
