jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
44;Radek Stepanek;CZE;2;6;0;4;25;3.1;10;1.3;0.67;0.68;0.46;0.74;0.3;0.62;0.29;0.47;0.19
45;Denis Istomin;UZB;6;8;4;0;48;4.4;22;2.0;0.66;0.66;0.49;0.72;0.33;0.57;0.24;0.47;0.14
46;Sam Querrey;USA;3;4;0;3;52;7.4;23;3.3;0.59;0.77;0.49;0.81;0.39;0.51;0.32;0.44;0.23
47;Lukas Rosol;CZE;8;6;4;2;53;4.4;24;2.0;0.58;0.75;0.47;0.82;0.3;0.67;0.29;0.47;0.2
48;Pablo Andújar;ESP;12;14;3;7;40;1.5;87;3.3;0.61;0.66;0.51;0.76;0.37;0.66;0.3;0.51;0.25
49;Joao Sousa;POR;3;4;0;1;26;4.3;18;3.0;0.65;0.69;0.49;0.77;0.38;0.62;0.27;0.51;0.23
50;Nicolas Mahut;FRA;0;1;0;1;6;6.0;2;2.0;0.58;0.7;0.38;0.62;0.17;0.38;0.29;0.36;0.07
51;Bernard Tomic;AUS;5;4;3;1;18;3.6;10;2.0;0.66;0.64;0.45;0.69;0.14;0.41;0.28;0.44;0.1
52;Edouard Roger-Vasselin;FRA;8;6;2;2;46;3.3;23;1.6;0.66;0.67;0.53;0.77;0.33;0.61;0.29;0.51;0.24
53;Nikolay Davydenko;RUS;5;9;0;3;25;1.8;36;2.6;0.71;0.67;0.47;0.75;0.42;0.54;0.3;0.51;0.23
54;Daniel Brands;GER;10;8;3;2;130;7.2;30;1.7;0.67;0.7;0.55;0.83;0.36;0.59;0.27;0.48;0.16
55;Federico Delbonis;ARG;10;5;7;4;48;3.2;42;2.8;0.59;0.73;0.55;0.82;0.4;0.67;0.32;0.48;0.22
56;Horacio Zeballos;ARG;11;13;6;8;126;5.3;45;1.9;0.64;0.7;0.49;0.77;0.38;0.59;0.25;0.48;0.2
57;Alexandr Dolgopolov;UKR;4;8;3;2;64;5.8;22;2.0;0.48;0.76;0.51;0.75;0.38;0.54;0.28;0.52;0.19
58;Michal Przysiezny;POL;1;3;0;2;16;8.0;4;2.0;0.66;0.67;0.45;0.74;0.4;0.61;0.24;0.51;0.18
59;Roberto Bautista Agut;ESP;8;7;2;2;28;1.9;15;1.0;0.75;0.63;0.52;0.72;0.5;0.58;0.34;0.54;0.32
