"","PC1","PC2","PC3","class"
"1",-0.913211978886417,-0.282700697280788,-0.253155791699415,"W"
"2",-0.64811048306307,-0.530228882874882,-0.424186560213741,"W"
"3",-0.422216511672585,-0.747783313375807,-0.416703562283982,"W"
"4",-0.984916629231574,-0.206078030370442,-0.366442090906452,"W"
"5",-0.490525390506178,-0.727297328887772,-0.0853054225207933,"W"
"6",-0.428513031181115,-0.752347017825072,-0.311641904294106,"W"
"7",-0.78140961026622,-0.396161974722492,-0.409697227855546,"W"
"8",-0.0887127354094466,-1.02627350134838,-0.758236815742695,"W"
"9",-0.568188194235325,-0.621889238179594,-0.288749112196416,"W"
"10",-1.03517806170581,-0.126601306719543,-0.45519506573013,"W"
"11",-0.913211978886417,-0.282700697280788,-0.253155791699415,"W"
"12",-0.829642257542095,-0.351838836368951,-0.376767404679152,"W"
"13",-0.473303611658769,-0.704062838415757,-0.408793629689569,"L"
"14",-0.64811048306307,-0.530228882874882,-0.424186560213741,"W"
"15",-1.0835089257549,-0.113949875948612,-0.255215942832073,"L"
"16",-0.391553860567985,-0.814967639827221,-0.182832880106462,"W"
"17",-0.629443484821084,-0.592768280115714,-0.0728438780007057,"W"
"18",-0.829642257542095,-0.351838836368951,-0.376767404679152,"W"
"19",-1.0835089257549,-0.113949875948612,-0.255215942832073,"W"
"20",-0.78140961026622,-0.396161974722492,-0.409697227855546,"W"
"21",-0.403617464694466,-0.810631030077954,-0.108488869843407,"W"
"22",-0.730972036354295,-0.460848013718633,-0.271574691796117,"W"
"23",-1.0835089257549,-0.113949875948612,-0.255215942832073,"W"
"24",-0.556966574325394,-0.627261156660566,-0.31389410811608,"W"
"25",-0.990283653089687,-0.208650114449629,-0.372335798476565,"L"
"26",-0.629443484821084,-0.592768280115714,-0.0728438780007057,"W"
"27",-0.913211978886417,-0.282700697280788,-0.253155791699415,"W"
"28",-0.984916629231574,-0.206078030370442,-0.366442090906452,"W"
"29",-0.990283653089687,-0.208650114449629,-0.372335798476565,"W"
"30",-0.490525390506178,-0.727297328887772,-0.0853054225207933,"W"
"31",-0.730972036354295,-0.460848013718633,-0.271574691796117,"W"
"32",-0.645618309477633,-0.56263761053947,-0.178166595271238,"W"
"33",-0.473303611658769,-0.704062838415757,-0.408793629689569,"W"
"34",-0.990283653089687,-0.208650114449629,-0.372335798476565,"W"
"35",-0.755359695789034,-0.42219754287218,-0.379326694814143,"W"
"36",-1.09465583733856,-0.0886556984405665,-0.256171348096862,"W"
"37",-0.74705154904736,-0.442418899046136,-0.272296460972987,"W"
"38",-0.526261373282573,-0.645470757029861,-0.465525475821252,"W"
"39",-0.743385308654663,-0.468500815455811,-0.136082455255368,"W"
"40",-0.681169988561516,-0.493379068034619,-0.397900113199029,"W"
"41",-0.567518811274165,-0.637645626858568,-0.190976972574198,"W"
"42",-0.74705154904736,-0.442418899046136,-0.272296460972987,"W"
"43",-0.588907276468656,-0.633742668336039,-0.112379577127148,"W"
"44",-0.399268050394649,-0.381672118728355,-0.305942665938607,"W"
"45",-0.683700998359607,-0.109733519357228,-0.16338096351568,"L"
"46",-0.766327188047833,-0.0702988944446878,0.0630422670216922,"W"
"47",-0.201396475714036,-0.583928890428543,-0.264652281482966,"W"
"48",-0.488049276763651,-0.328756635733939,-0.0763321718951825,"L"
"49",-0.488049276763651,-0.328756635733939,-0.0763321718951825,"W"
"50",-0.395792607214189,-0.443251401893312,0.134158246670447,"W"
"51",-0.250497154828301,-0.539133198926186,-0.201762607632079,"W"
"52",-0.297874298762969,-0.514361294537865,-0.0626314279185351,"L"
"53",-0.395799454429881,-0.428995512408947,0.0239639820777047,"W"
"54",-0.235319371815332,-0.592395791842671,0.0568610783736599,"W"
"55",-0.813197272387291,0.00257208407917851,-0.151501136254549,"W"
"56",-0.99028365308969,0.208650114449612,-0.372335798476554,"W"
"57",-0.657922900697811,-0.14318872191933,-0.16182645002725,"W"
"58",-0.571665951810379,-0.25985070100619,0.0788584993965347,"W"
"59",-0.609690253421936,-0.187511860272871,-0.194756273203644,"W"
"60",-0.99028365308969,0.208650114449612,-0.372335798476554,"L"
"61",-0.439966322616196,-0.387869667833323,0.0384655322480299,"W"
"62",-0.35454201643829,-0.43682064258024,-0.250584521169349,"W"
"63",-0.332150942943601,-0.505349577325423,0.117018290367147,"W"
"64",-0.393271184510553,-0.425395991841306,0.0327189380112787,"W"
"65",-0.190730377913911,-0.629682830143783,0.0052885904735781,"W"
"66",-0.643792931958622,-0.15779402956416,-0.139479394605425,"W"
"67",-0.813197272387291,0.00257208407917851,-0.151501136254549,"L"
"68",-0.575332192203076,-0.233768784596515,-0.057355506321084,"W"
"69",-0.417187919624372,-0.425092553886418,0.102561377524755,"W"
"70",-0.99028365308969,0.208650114449612,-0.372335798476554,"L"
"71",-0.4577241279768,-0.384118165666093,0.142097076651197,"W"
"72",-0.687038760605449,-0.141570352883609,0.0589039339223414,"L"
"73",-0.293761860319797,-0.526480185965474,0.0340280953875872,"W"
"74",-0.231898107850182,-0.601980915628333,0.106452084808496,"W"
"75",-0.687038760605449,-0.141570352883609,0.0589039339223414,"W"
"76",-0.408704870288393,-0.395942815664692,-0.0979090406980159,"W"
"77",-0.476391126218786,-0.321578768425261,-0.209245605561838,"W"
"78",-0.609690253421936,-0.187511860272871,-0.194756273203644,"W"
"79",-0.395792607214189,-0.443251401893312,0.134158246670447,"W"
"80",-0.294619218809193,-0.510445032297993,-0.124816241582827,"W"
"81",-0.38524721748111,-0.418611042210946,-0.0989531534641769,"W"
"82",-0.201396475714036,-0.583928890428543,-0.264652281482966,"W"
"83",-0.476391126218786,-0.321578768425261,-0.209245605561838,"W"
"84",-0.512298965747828,-0.281989405193823,-0.202777404373587,"W"
"85",-0.638425908100508,-0.160366113643345,-0.133585687035312,"W"
"86",-0.587829139060745,-0.192646019826539,-0.280134620022191,"W"
"87",-0.289252194951079,-0.513017116377178,-0.118922534012714,"W"
"88",-0.574605495877049,-0.19606946298473,-0.26095697501676,"W"
"89",-0.73612559818402,-0.0766226669103522,-0.032321129477399,"W"
"90",-0.482682252905537,-0.331328719813124,-0.070438464325069,"W"
"91",-0.984916629231576,0.206078030370427,-0.36644209090644,"L"
"92",-0.605715459054365,-0.201298298864259,-0.0958628851778111,"L"
"93",-0.403337846430279,-0.398514899743877,-0.0920153331279024,"W"
"94",-0.652555876839697,-0.145760805998515,-0.155932742457136,"L"
"95",-0.73612559818402,-0.0766226669103522,-0.032321129477399,"W"
"96",-0.566298927952266,-0.262422785085375,0.0847522069666482,"W"
"97",-0.296217230956371,-0.497984808045321,-0.187958967467553,"W"
"98",-0.578273315086636,-0.216119512501744,-0.158492032592127,"W"
"99",-0.387904160652439,-0.427968075920491,0.0386126455813922,"W"
"100",-0.245130130970187,-0.541705283005371,-0.195868900061966,"W"
"101",-0.638425908100508,-0.160366113643345,-0.133585687035312,"W"
"102",-0.390432430571767,-0.431567596488132,0.0298576896478183,"L"
"103",-0.337157434756074,-0.483213061495746,0.0277817923406361,"L"
"104",-0.329794578055923,-0.474265739524162,-0.0872815719588541,"L"
"105",-0.342792984646389,-0.479106996485853,0.067540459728387,"W"
"106",-0.393901026536535,-0.38424420280754,-0.300048958368494,"W"
"107",-0.638425908100508,-0.160366113643345,-0.133585687035312,"W"
"108",-0.697555208748758,-0.0903380807565601,-0.157198561817305,"W"
"109",-0.813197272387289,-0.00257208407919308,-0.151501136254549,"L"
"110",-0.245130130970187,-0.541705283005371,-0.195868900061966,"W"
"111",-0.379880193622996,-0.421183126290131,-0.0930594458940634,"W"
"112",-0.984916629231576,0.206078030370427,-0.36644209090644,"L"
"113",-0.326783919085487,-0.507921661404608,0.122911997937261,"W"
"114",-0.917569456636165,0.11742233192987,-0.0353366858748458,"W"
"115",-0.379880193622996,-0.421183126290131,-0.0930594458940634,"W"
"116",-0.185363354055797,-0.632254914222968,0.0111822980436916,"L"
"117",-0.553885655651897,-0.254769983348197,-0.0507400295741011,"W"
"118",-0.604323229563822,-0.190083944352056,-0.18886256563353,"W"
"119",-0.813197272387289,-0.00257208407919308,-0.151501136254549,"W"
"120",-0.185363354055797,-0.632254914222968,0.0111822980436916,"W"
"121",-0.638425908100508,-0.160366113643345,-0.133585687035312,"W"
"122",-0.245130130970187,-0.541705283005371,-0.195868900061966,"W"
"123",-0.678333974501493,-0.112305603436413,-0.157487255945567,"W"
"124",-0.697555208748758,-0.0903380807565601,-0.157198561817305,"L"
"125",-0.553885655651897,-0.254769983348197,-0.0507400295741011,"W"
"126",-0.18945556108343,-0.647122776749518,0.148718729586749,"W"
"127",-0.587829139060745,-0.192646019826539,-0.280134620022191,"W"
"128",-0.681671736747335,-0.144142436962794,0.0647976414924549,"L"
"129",-0.333454244491498,-0.488983483352036,0.035690289444677,"W"
"130",-0.326783919085487,-0.507921661404608,0.122911997937261,"W"
"131",-0.411820895766258,-0.427664637965603,0.108455085094868,"W"
"132",-0.224276933568861,-0.541367535738283,-0.332607641045949,"W"
"133",-0.553885655651897,-0.254769983348197,-0.0507400295741011,"W"
"134",-0.468531928775235,-0.356559580169034,0.0426680669507781,"W"
"135",-0.199368674868452,-0.597324184966836,-0.122912424941753,"W"
"136",-0.313439009803781,-0.521219298517336,0.135529239701223,"W"
"137",-0.348204249175082,-0.473575856380362,0.0427656615166054,"L"
"138",-0.681671736747335,-0.144142436962794,0.0647976414924549,"W"
"139",-0.047919631513365,-0.356185043102583,-0.13406237902119,"W"
"140",0.0181436649095561,-0.442170969870915,-0.0320728389054083,"W"
"141",-0.10292384203899,-0.29114277172301,-0.242666996749587,"W"
"142",-0.199830827464927,-0.208430955391824,-0.135270470077002,"W"
"143",-0.36645814937961,-0.0462569243236476,-0.0947169357000705,"W"
"144",-0.374766296121283,-0.0260355681496919,-0.201747169541227,"L"
"145",-0.781409610266223,0.396161974722479,-0.40969722785554,"L"
"146",-0.177224495642245,-0.263214073161988,0.0999187127175807,"W"
"147",0.0219823966805659,-0.458765006913219,0.0713519533438481,"W"
"148",-0.308791946782475,-0.0919054608417702,-0.246032541322687,"W"
"149",-0.267517083395319,-0.134066908152394,-0.246607034940825,"L"
"150",-0.290211035395536,-0.147235652588357,0.0524728386914048,"L"
"151",0.00413834409690072,-0.407240240614784,-0.166167561890853,"W"
"152",-0.0927102119910185,-0.307900863693269,-0.231214104416653,"W"
