"PC1","PC2","PC3","class"
-1.03519684975609,-0.130184911501905,0.185788053753774,"W"
-1.02384088371845,-0.112674798284465,0.264813799879006,"W"
-1.06961746218793,-0.0717621920906054,0.246786677854073,"W"
-1.05693979909451,-0.0809341147017448,0.256790786831988,"W"
-1.12747824821869,0.0115352087445201,0.307573726564278,"W"
-0.98578457295283,-0.125855083969757,0.272110695107471,"L"
-0.73792074797908,-0.327652283297063,0.300677419581695,"W"
-0.780252885634514,-0.339292907484119,0.155390870235566,"W"
-0.834217486161111,-0.260338665590246,0.276826120755847,"W"
-1.06961746218793,-0.0717621920906054,0.246786677854073,"W"
-1.02384088371845,-0.112674798284465,0.264813799879006,"W"
-0.349735815225424,-0.757376897259974,0.0621287673577227,"W"
-0.47598098189941,-0.64485609257863,0.0943101388882995,"W"
-0.620888932754988,-0.486241245421145,0.179823333029639,"W"
-0.616398796508899,-0.511411489522882,0.114488731463883,"W"
-1.03519684975609,-0.130184911501905,0.185788053753774,"W"
-0.453532068973726,-0.640094128202941,0.197977025972524,"W"
-0.341492937582538,-0.739560925686759,0.128152850478598,"W"
-0.698587601687757,-0.412580641266266,0.178803535722882,"W"
-0.847228734935505,-0.275347841804174,0.211325470380102,"W"
-1.05693979909451,-0.0809341147017448,0.256790786831988,"W"
-0.986763818219011,-0.0932091918264589,0.373515108396283,"W"
-1.02384088371845,-0.112674798284465,0.264813799879006,"L"
-0.777216259743516,-0.341551337331036,0.215913552672697,"W"
-0.583543793360796,-0.519812459321651,0.188765870854039,"W"
-0.854656320852349,-0.24280761674127,0.285886036965571,"W"
-1.05693979909451,-0.0809341147017448,0.256790786831988,"W"
-1.12747824821869,0.0115352087445201,0.307573726564278,"L"
-0.519022009161723,-0.604031781436295,0.107769519087972,"W"
-0.98578457295283,-0.125855083969757,0.272110695107471,"W"
-0.834217486161111,-0.260338665590246,0.276826120755847,"W"
-1.01173727961375,-0.154592802707433,0.199005424545991,"W"
-0.95418922078542,-0.15390928425483,0.305703377018053,"W"
-0.543050133240176,-0.60617073007551,0.0879820932196933,"W"
-0.748465572800818,-0.339365474729348,0.233986952178649,"W"
-0.534618379474162,-0.557018834864563,0.138881946146069,"W"
-1.03519684975609,-0.130184911501905,0.185788053753774,"W"
-1.02384088371845,-0.112674798284465,0.264813799879006,"L"
-1.05693979909451,-0.0809341147017448,0.256790786831988,"L"
-0.549268012480393,-0.57254784850209,0.0646985709489753,"W"
-0.667473986182443,-0.416183435358526,0.239545987792559,"W"
-0.679984888107321,-0.461128512572798,0.126737752705327,"W"
-0.616398796508899,-0.511411489522882,0.114488731463883,"W"
-1.12747824821869,0.0115352087445201,0.307573726564278,"L"
-0.314631019161883,-0.81342885014713,-0.0055651935709603,"W"
-0.420391882658982,-0.697569709923142,0.132932028680935,"W"
-0.777216259743516,-0.341551337331036,0.215913552672697,"W"
-1.03519684975609,-0.130184911501905,0.185788053753774,"W"
-1.12747824821869,0.0115352087445201,0.307573726564278,"W"
-0.949845046236449,-0.143722192362759,0.276537094027528,"L"
-0.519022009161723,-0.604031781436295,0.107769519087972,"W"
-0.70898577238979,-0.424171599476382,0.172252960559141,"W"
-1.03519684975609,-0.130184911501905,0.185788053753774,"W"
-1.12747824821869,0.0115352087445201,0.307573726564278,"W"
-0.949845046236449,-0.143722192362759,0.276537094027528,"L"
-0.490530315242415,-0.601576189143654,0.173218578636715,"W"
-0.847228734935505,-0.275347841804174,0.211325470380102,"W"
-1.01173727961375,-0.154592802707433,0.199005424545991,"L"
-0.777216259743516,-0.341551337331036,0.215913552672697,"W"
-0.875626118948557,-0.228074735369887,0.274978162103218,"W"
-0.478682587257699,-0.686879247417668,-0.0483430470716189,"W"
