j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,0.6,0.67,0.23,0.68,0.82,0.34,0.16,0.67,W
0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,0.4,0.33,0.29,0.76,0.82,0.38,0.21,0.17,W
0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,W
0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,W
0.2,0.75,0.17,0.76,0.83,0.54,0.22,0.5,0.6,0.5,0.13,0.7,0.79,0.24,0.14,0.33,W
0.2,0.75,0.17,0.76,0.83,0.54,0.22,0.5,0.8,0.33,0.31,0.76,0.86,0.43,0.13,0.17,W
0.2,0.75,0.17,0.76,0.83,0.54,0.22,0.5,1.0,0.4,0.06,0.67,0.71,0.33,0.11,0.33,W
0.2,0.75,0.17,0.76,0.83,0.54,0.22,0.5,1.0,0.5,0.11,0.79,0.89,0.25,0.04,0.33,L
0.2,0.0,0.3,0.76,0.9,0.44,0.26,0.0,0.8,0.25,0.11,0.77,0.8,0.35,0.23,0.17,L
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.8,0.5,0.34,0.71,0.85,0.33,0.16,0.33,W
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.4,0.6,0.25,0.73,0.87,0.3,0.13,0.5,W
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.8,0.75,0.09,0.73,0.82,0.8,0.12,0.5,W
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,L
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.8,0.63,0.24,0.73,0.84,0.39,0.21,0.67,W
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.4,0.6,0.25,0.73,0.87,0.3,0.13,0.5,W
0.6,0.89,0.42,0.74,0.83,0.32,0.18,0.83,0.6,0.85,0.59,0.83,0.93,0.44,0.13,0.83,W
0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,0.6,0.6,0.16,0.7,0.76,0.48,0.18,0.5,W
0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,0.4,0.5,0.86,0.8,0.89,0.34,0.14,0.5,W
0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,1.0,0.57,0.0,0.71,0.71,0.33,0.18,0.67,W
0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,0.2,1.0,0.64,0.78,0.91,0.45,0.28,1.0,L
0.2,0.67,0.85,0.79,0.94,0.38,0.15,0.67,0.6,0.0,0.21,0.71,0.78,0.36,0.17,0.0,W
