jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
1;Novak Djokovic;SRB;9;3;0;1;111;9.3;17;1.4;0.68;0.78;0.57;0.91;0.45;0.76;0.34;0.51;0.28
2;Roger Federer;SUI;15;2;5;3;160;9.4;20;1.2;0.67;0.77;0.58;0.91;0.38;0.67;0.31;0.52;0.25
3;Andy Murray;GBR;12;2;4;3;149;10.6;26;1.9;0.62;0.77;0.6;0.92;0.38;0.78;0.3;0.56;0.25
4;Rafael Nadal;ESP;2;2;2;0;30;7.5;5;1.3;0.66;0.76;0.59;0.83;0.54;0.52;0.26;0.51;0.22
5;David Ferrer;ESP;11;2;5;2;52;4.0;8;0.6;0.68;0.76;0.64;0.9;0.44;0.67;0.29;0.56;0.26
6;Tomas Berdych;CZE;1;3;0;3;33;8.3;13;3.3;0.59;0.8;0.52;0.88;0.41;0.67;0.19;0.48;0.13
7;Juan Martin  del Potro;ARG;8;2;4;1;80;8.0;26;2.6;0.68;0.73;0.58;0.88;0.46;0.68;0.28;0.47;0.2
8;Jo-Wilfried Tsonga;FRA;9;3;4;4;147;12.3;21;1.8;0.64;0.79;0.58;0.94;0.38;0.81;0.25;0.43;0.15
9;Janko Tipsarevic;SRB;5;3;2;2;94;11.8;17;2.1;0.62;0.8;0.59;0.92;0.36;0.72;0.24;0.49;0.16
10;Richard Gasquet;FRA;4;3;0;2;54;7.7;11;1.6;0.69;0.77;0.54;0.88;0.53;0.69;0.3;0.48;0.23
11;Nicolás Almagro;ESP;5;2;2;1;112;16.0;20;2.9;0.63;0.8;0.52;0.87;0.5;0.43;0.25;0.56;0.21
12;Juan Mónaco;ARG;3;2;3;0;10;2.0;19;3.8;0.66;0.71;0.53;0.82;0.48;0.5;0.24;0.52;0.2
13;Milos Raonic;CAN;5;4;3;3;162;18.0;28;3.1;0.65;0.85;0.58;0.94;0.34;0.67;0.23;0.43;0.11
14;John Isner;USA;8;2;9;2;173;17.3;21;2.1;0.73;0.83;0.59;0.97;0.29;0.84;0.24;0.41;0.1
15;Marin Cilic;CRO;9;2;4;3;88;8.0;26;2.4;0.61;0.74;0.54;0.85;0.44;0.66;0.33;0.5;0.25
16;Gilles Simon;FRA;3;3;0;2;51;8.5;14;2.3;0.61;0.76;0.44;0.82;0.38;0.62;0.28;0.52;0.21
17;Stan Wawrinka;SUI;0;2;0;1;25;12.5;18;9.0;0.49;0.72;0.52;0.78;0.43;0.64;0.25;0.47;0.17
18;Alexandr Dolgopolov;UKR;1;2;0;1;43;14.3;10;3.3;0.62;0.73;0.49;0.87;0.3;0.8;0.27;0.45;0.13
19;Kei Nishikori;JPN;7;3;2;4;37;3.7;25;2.5;0.65;0.71;0.52;0.79;0.47;0.57;0.32;0.54;0.31
20;Philipp Kohlschreiber;GER;9;3;7;5;152;12.7;27;2.3;0.6;0.8;0.58;0.92;0.46;0.73;0.26;0.52;0.19
21;Tommy Haas;GER;5;1;3;2;46;7.7;14;2.3;0.66;0.8;0.59;0.94;0.42;0.76;0.24;0.47;0.13
22;Sam Querrey;USA;7;4;6;5;149;13.5;39;3.5;0.62;0.8;0.5;0.89;0.34;0.64;0.27;0.43;0.14
23;Andreas Seppi;ITA;4;4;2;3;39;4.9;18;2.3;0.65;0.69;0.6;0.82;0.31;0.57;0.32;0.48;0.22
24;Fernando Verdasco;ESP;2;2;3;2;62;15.5;22;5.5;0.65;0.76;0.55;0.86;0.38;0.71;0.26;0.42;0.14
25;Mikhail Youzhny;RUS;7;3;0;1;45;4.5;17;1.7;0.64;0.72;0.54;0.82;0.35;0.63;0.29;0.54;0.22
26;Jerzy Janowicz;POL;2;1;1;1;53;17.7;13;4.3;0.64;0.83;0.56;0.91;0.35;0.6;0.26;0.43;0.13
27;Mardy Fish;USA;3;1;4;2;84;21.0;15;3.8;0.55;0.86;0.58;0.92;0.25;0.68;0.29;0.47;0.13
28;Florian Mayer;GER;5;2;2;0;55;7.9;9;1.3;0.64;0.76;0.58;0.87;0.34;0.67;0.28;0.45;0.17
29;Jurgen Melzer;AUT;2;3;2;1;27;5.4;20;4.0;0.66;0.7;0.5;0.76;0.48;0.53;0.25;0.47;0.18
30;Martin Klizan;SVK;1;3;1;2;23;5.8;18;4.5;0.58;0.7;0.51;0.79;0.24;0.7;0.25;0.5;0.14
31;Radek Stepanek;CZE;4;3;3;0;39;5.6;11;1.6;0.66;0.68;0.55;0.82;0.34;0.72;0.31;0.43;0.16
32;Jeremy Chardy;FRA;2;2;1;3;44;11.0;7;1.8;0.6;0.74;0.5;0.85;0.58;0.71;0.28;0.44;0.2
33;Thomaz Bellucci;BRA;0;2;1;1;9;4.5;5;2.5;0.68;0.64;0.52;0.73;0.43;0.53;0.21;0.37;0.1
34;Marcel Granollers;ESP;1;3;0;2;22;5.5;13;3.3;0.64;0.75;0.44;0.83;0.41;0.6;0.27;0.45;0.18
35;Julien Benneteau;FRA;4;4;3;2;73;9.1;29;3.6;0.67;0.73;0.5;0.83;0.37;0.64;0.25;0.52;0.17
36;Marcos Baghdatis;CYP;6;4;2;1;88;8.8;49;4.9;0.58;0.74;0.5;0.82;0.43;0.63;0.34;0.46;0.25
37;Kevin Anderson;RSA;3;2;4;1;81;16.2;22;4.4;0.72;0.74;0.56;0.86;0.21;0.66;0.24;0.47;0.07
38;Viktor Troicki;SRB;4;4;3;2;96;12.0;29;3.6;0.61;0.74;0.47;0.77;0.39;0.53;0.25;0.51;0.16
39;Andy Roddick;USA;8;3;3;1;101;9.2;12;1.1;0.71;0.76;0.58;0.87;0.34;0.55;0.3;0.51;0.21
40;Feliciano Lopez;ESP;3;3;0;6;102;17.0;18;3.0;0.62;0.83;0.55;0.93;0.44;0.65;0.25;0.4;0.13
41;Jarkko Nieminen;FIN;2;4;2;0;23;3.8;9;1.5;0.65;0.7;0.44;0.75;0.25;0.55;0.24;0.43;0.09
42;Pablo Andújar;ESP;0;2;0;0;6;3.0;13;6.5;0.61;0.65;0.36;0.59;0.38;0.48;0.26;0.46;0.11
43;Denis Istomin;UZB;8;5;7;4;118;9.1;20;1.5;0.68;0.76;0.53;0.86;0.37;0.72;0.28;0.43;0.15
44;Nikolay Davydenko;RUS;1;2;0;0;8;2.7;13;4.3;0.63;0.64;0.41;0.69;0.42;0.69;0.31;0.38;0.14
45;Fabio Fognini;ITA;3;3;2;1;21;3.5;15;2.5;0.67;0.66;0.48;0.73;0.45;0.58;0.29;0.44;0.21
46;David Goffin;BEL;2;4;0;2;36;6.0;26;4.3;0.61;0.71;0.48;0.78;0.36;0.6;0.24;0.47;0.17
47;Benoit Paire;FRA;5;2;1;2;68;9.7;30;4.3;0.57;0.76;0.51;0.85;0.33;0.64;0.32;0.49;0.22
48;Grigor Dimitrov;BUL;6;3;4;1;73;8.1;12;1.3;0.65;0.74;0.51;0.83;0.32;0.69;0.3;0.47;0.18
49;Marinko Matosevic;AUS;2;3;2;2;27;5.4;13;2.6;0.63;0.65;0.51;0.75;0.29;0.58;0.28;0.45;0.11
50;Lukas Lacko;SVK;3;3;1;2;52;8.7;10;1.7;0.65;0.76;0.46;0.8;0.41;0.41;0.3;0.44;0.19
51;Albert Ramos-Vinolas;ESP;0;2;1;1;4;2.0;9;4.5;0.55;0.56;0.39;0.46;0.56;0.53;0.3;0.42;0.19
52;Bernard Tomic;AUS;1;4;1;2;21;4.2;3;0.6;0.72;0.68;0.59;0.78;0.25;0.59;0.23;0.47;0.14
53;Michael Llodra;FRA;0;2;0;0;21;10.5;4;2.0;0.75;0.67;0.52;0.73;0.21;0.6;0.29;0.41;0.1
54;Alejandro Falla;COL;3;3;1;2;22;3.7;14;2.3;0.67;0.73;0.55;0.82;0.36;0.6;0.24;0.45;0.15
55;Grega Zemlja;SLO;1;2;1;2;36;12.0;19;6.3;0.62;0.74;0.55;0.84;0.28;0.53;0.22;0.42;0.1
56;Robin Haase;NED;0;4;0;2;38;9.5;8;2.0;0.61;0.76;0.45;0.78;0.25;0.52;0.23;0.45;0.06
57;Santiago Giraldo;COL;1;3;2;1;13;3.3;4;1.0;0.72;0.69;0.59;0.89;0.43;0.74;0.17;0.45;0.05
58;Go Soeda;JPN;2;5;1;2;29;4.1;24;3.4;0.51;0.73;0.52;0.77;0.42;0.46;0.3;0.5;0.25
59;Paul-Henri Mathieu;FRA;0;2;1;1;14;7.0;9;4.5;0.5;0.81;0.46;0.78;0.17;0.6;0.22;0.52;0.11
60;Yen-Hsun Lu;TPE;4;4;5;3;43;5.4;34;4.3;0.65;0.73;0.51;0.8;0.37;0.57;0.22;0.5;0.12
61;Brian Baker;USA;3;1;1;1;24;6.0;14;3.5;0.61;0.79;0.6;0.89;0.47;0.45;0.29;0.59;0.29
62;Xavier Malisse;BEL;9;3;5;2;114;9.5;15;1.3;0.64;0.76;0.52;0.85;0.42;0.54;0.27;0.54;0.25
63;Paolo Lorenzi;ITA;1;3;1;2;19;4.8;4;1.0;0.65;0.69;0.55;0.82;0.24;0.48;0.26;0.49;0.11
