jugador;nac;victorias;derrotas;tiebreak_vic;tiebreak_derrota;total_aces;aces_porpartido;total_doblefalta;part_porc;1servicio;1servicio_gana;2servicio_gana;servicio_juegogana;pto_quiebregana;pto_quiebresalva;ptogana_devserv1;ptogana_devserv2;juegodev_gana
44;Radek Stepanek;CZE;3;2;0;0;27;5.4;6;1.2;0.64;0.7;0.56;0.84;0.42;0.7;0.28;0.58;0.27
45;Denis Istomin;UZB;1;3;2;3;37;9.3;8;2.0;0.62;0.77;0.56;0.88;0.27;0.73;0.2;0.47;0.07
46;Sam Querrey;USA;1;3;2;3;98;24.5;16;4.0;0.64;0.8;0.47;0.88;0.21;0.75;0.26;0.41;0.1
47;Lukas Rosol;CZE;1;2;1;3;35;11.7;17;5.7;0.58;0.74;0.55;0.89;0.26;0.81;0.23;0.5;0.13
48;Pablo Andújar;ESP;0;2;0;0;2;1.0;7;3.5;0.58;0.59;0.39;0.45;0.25;0.65;0.17;0.35;0.05
49;Joao Sousa;POR;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;Nicolas Mahut;FRA;12;2;2;3;134;9.6;47;3.4;0.61;0.81;0.52;0.91;0.42;0.73;0.33;0.48;0.28
51;Bernard Tomic;AUS;5;3;7;3;93;11.6;5;0.6;0.74;0.73;0.5;0.89;0.35;0.74;0.18;0.5;0.12
52;Edouard Roger-Vasselin;FRA;1;4;2;4;29;5.8;16;3.2;0.67;0.73;0.47;0.83;0.19;0.5;0.21;0.47;0.08
53;Nikolay Davydenko;RUS;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;Daniel Brands;GER;2;3;1;4;59;11.8;13;2.6;0.7;0.73;0.54;0.86;0.5;0.66;0.21;0.41;0.13
55;Federico Delbonis;ARG;0;1;0;0;5;5.0;7;7.0;0.63;0.62;0.26;0.38;0.0;0.5;0.21;0.43;0.0
56;Horacio Zeballos;ARG;0;1;1;1;17;17.0;6;6.0;0.61;0.7;0.61;0.8;0.22;0.44;0.28;0.23;0.08
57;Alexandr Dolgopolov;UKR;3;3;2;2;64;10.7;16;2.7;0.58;0.77;0.49;0.8;0.46;0.59;0.29;0.47;0.24
58;Michal Przysiezny;POL;3;2;1;3;37;7.4;16;3.2;0.59;0.75;0.52;0.82;0.44;0.61;0.22;0.5;0.23
59;Roberto Bautista Agut;ESP;3;2;3;1;18;3.6;8;1.6;0.75;0.68;0.59;0.83;0.39;0.67;0.28;0.51;0.18
60;Adrian Mannarino;FRA;4;3;0;2;55;7.9;17;2.4;0.62;0.75;0.55;0.88;0.41;0.74;0.22;0.51;0.2
61;Lleyton Hewitt;AUS;9;3;1;1;84;7.0;55;4.6;0.52;0.72;0.54;0.81;0.42;0.67;0.29;0.57;0.3
62;Marinko Matosevic;AUS;1;4;0;0;24;4.8;12;2.4;0.59;0.69;0.35;0.57;0.38;0.51;0.3;0.49;0.21
63;Guillermo Garcia-Lopez;ESP;3;3;1;0;24;4.0;22;3.7;0.56;0.76;0.49;0.8;0.35;0.66;0.27;0.5;0.18
64;Albert Montanes;ESP;0;1;0;0;7;7.0;8;8.0;0.73;0.7;0.45;0.78;0.22;0.75;0.16;0.48;0.11
65;Pablo Carreño Busta;ESP;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Yen-Hsun Lu;TPE;2;2;3;1;22;5.5;13;3.3;0.65;0.72;0.46;0.82;0.25;0.73;0.24;0.45;0.13
67;Mikhail Kukushkin;KAZ;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;Santiago Giraldo;COL;2;2;1;1;36;9.0;4;1.0;0.68;0.71;0.56;0.83;0.5;0.67;0.25;0.44;0.18
69;Igor Sijsling;NED;6;3;3;2;88;9.8;29;3.2;0.58;0.78;0.52;0.85;0.41;0.61;0.29;0.49;0.23
70;Filippo Volandri;ITA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;Lukasz Kubot;POL;3;2;0;0;51;10.2;23;4.6;0.6;0.76;0.51;0.83;0.39;0.62;0.28;0.56;0.23
72;Dudi Sela;ISR;0;1;0;1;0;0.0;2;2.0;0.67;0.65;0.49;0.73;1.0;0.6;0.2;0.5;0.2
73;Tobias Kamke;GER;1;2;1;0;6;2.0;5;1.7;0.66;0.7;0.47;0.76;0.35;0.47;0.25;0.54;0.18
74;Viktor Troicki;SRB;2;2;1;0;46;11.5;17;4.3;0.64;0.79;0.48;0.83;0.3;0.55;0.23;0.47;0.15
75;Daniel Gimeno-Traver;ESP;0;3;2;2;23;7.7;10;3.3;0.65;0.73;0.45;0.79;0.11;0.55;0.2;0.36;0.02
76;Victor Hanescu;ROU;0;2;0;0;5;2.5;3;1.5;0.77;0.55;0.46;0.55;0.5;0.25;0.09;0.4;0.05
77;Ivo Karlovic;CRO;2;1;1;2;43;14.3;12;4.0;0.63;0.79;0.54;0.92;0.24;0.4;0.23;0.44;0.11
78;Benjamin Becker;GER;3;2;3;2;37;7.4;5;1.0;0.65;0.74;0.51;0.8;0.33;0.48;0.27;0.48;0.17
79;Matthew Ebden;AUS;0;2;0;0;9;4.5;15;7.5;0.53;0.7;0.32;0.5;0.43;0.39;0.32;0.34;0.14
80;Teymuraz Gabashvili;RUS;0;1;0;1;5;5.0;5;5.0;0.58;0.65;0.48;0.73;0.25;0.6;0.28;0.45;0.13
81;Lukas Lacko;SVK;0;1;1;0;13;13.0;2;2.0;0.64;0.76;0.37;0.76;0.33;0.69;0.2;0.43;0.05
82;Albert Ramos-Vinolas;ESP;1;2;0;0;15;5.0;9;3.0;0.62;0.65;0.38;0.63;0.26;0.21;0.21;0.54;0.16
83;Kenny De Schepper;FRA;4;4;2;1;80;10.0;29;3.6;0.66;0.72;0.54;0.87;0.37;0.78;0.24;0.42;0.13
84;Jiri Vesely;CZE;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85;Julian Reister;GER;1;1;1;3;32;16.0;15;7.5;0.69;0.72;0.51;0.9;0.19;0.83;0.29;0.41;0.11
86;Marcos Baghdatis;CYP;0;3;0;0;10;3.3;20;6.7;0.51;0.72;0.55;0.76;0.25;0.55;0.2;0.34;0.05
87;Alex Bogomolov Jr.;RUS;0;1;0;0;1;1.0;4;4.0;0.79;0.59;0.5;0.62;0.0;0.64;0.2;0.2;0.0
88;Aljaz Bedene;GBR;1;2;1;2;32;10.7;10;3.3;0.58;0.76;0.55;0.86;0.22;0.45;0.2;0.5;0.1
89;Tim Smyczek;USA;1;1;1;0;7;3.5;6;3.0;0.56;0.64;0.49;0.7;0.31;0.79;0.26;0.55;0.2
90;Somdev Devvarman;IND;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91;Alejandro Gonzalez;COL;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
92;Michael Russell;USA;3;3;3;1;13;2.2;19;3.2;0.65;0.65;0.52;0.73;0.36;0.49;0.24;0.53;0.19
93;Aleksandr Nedovyesov;KAZ;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
94;Guido Pella;ARG;0;2;0;0;19;9.5;4;2.0;0.61;0.66;0.49;0.7;0.19;0.47;0.29;0.45;0.13
95;Leonardo Mayer;ARG;2;3;1;1;28;5.6;21;4.2;0.62;0.7;0.47;0.76;0.42;0.63;0.3;0.44;0.18
96;Donald Young;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97;Bradley Klahn;USA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
98;Evgeny Donskoy;RUS;2;2;0;4;24;6.0;11;2.8;0.64;0.76;0.53;0.92;0.5;0.76;0.21;0.45;0.09
99;Sergiy Stakhovsky;UKR;3;2;3;1;54;10.8;16;3.2;0.66;0.75;0.57;0.87;0.3;0.58;0.26;0.5;0.16
100;Alejandro Falla;COL;0;1;0;1;1;1.0;6;6.0;0.59;0.58;0.43;0.56;0.56;0.53;0.33;0.64;0.29
101;Jesse Huta Galung;NED;0;1;0;0;4;4.0;7;7.0;0.5;0.61;0.39;0.44;0.5;0.17;0.19;0.36;0.13
102;Ryan Harrison;USA;1;4;1;2;51;10.2;15;3.0;0.63;0.7;0.51;0.8;0.42;0.73;0.18;0.44;0.07
103;Andrey Golubev;KAZ;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
104;Jack Sock;USA;1;1;0;0;13;6.5;6;3.0;0.65;0.76;0.44;0.78;0.45;0.2;0.32;0.5;0.26
105;Go Soeda;JPN;1;1;2;0;11;5.5;5;2.5;0.56;0.72;0.48;0.67;0.6;0.45;0.27;0.56;0.26
106;Blaz Kavcic;SLO;0;1;0;0;7;7.0;1;1.0;0.58;0.71;0.3;0.62;0.0;0.64;0.24;0.37;0.0
107;Michael Llodra;FRA;3;2;2;0;37;7.4;13;2.6;0.61;0.78;0.54;0.86;0.39;0.68;0.32;0.46;0.23
108;Jan Hajek;CZE;0;1;0;0;4;4.0;0;0.0;0.7;0.62;0.58;0.64;0.0;0.38;0.1;0.47;0.0
109;Adrian Ungur;ROU;0;1;0;0;2;2.0;5;5.0;0.59;0.59;0.49;0.67;1.0;0.54;0.16;0.5;0.11
110;Jan-Lennard Struff;GER;1;2;0;3;41;13.7;10;3.3;0.56;0.77;0.53;0.87;0.33;0.74;0.23;0.53;0.2
111;Martin Klizan;SVK;1;2;1;0;13;4.3;15;5.0;0.56;0.66;0.47;0.7;0.39;0.42;0.21;0.51;0.19
112;Paolo Lorenzi;ITA;1;2;2;2;9;3.0;4;1.3;0.55;0.75;0.57;0.84;0.2;0.54;0.25;0.4;0.05
113;David Goffin;BEL;0;3;0;2;7;2.3;12;4.0;0.64;0.64;0.6;0.78;0.44;0.64;0.25;0.51;0.16
114;Andreas Haider-Maurer;AUT;0;1;0;1;8;8.0;6;6.0;0.56;0.69;0.38;0.67;1.0;0.44;0.17;0.34;0.13
115;Denis Kudla;USA;4;3;0;1;29;4.1;16;2.3;0.58;0.72;0.58;0.81;0.46;0.64;0.24;0.58;0.27
116;Stephane Robert;FRA;1;1;1;0;9;4.5;8;4.0;0.65;0.68;0.49;0.76;0.37;0.47;0.31;0.53;0.22
117;Dusan Lajovic;SRB;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;Diego Schwartzman;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
119;Marc Gicquel;FRA;0;1;0;1;7;7.0;6;6.0;0.59;0.59;0.55;0.71;0.17;0.67;0.1;0.58;0.07
120;Grega Zemlja;SLO;4;3;3;2;82;11.7;28;4.0;0.6;0.77;0.49;0.85;0.4;0.76;0.23;0.48;0.13
121;Dominic Thiem;AUT;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122;Dustin Brown;GER;2;1;0;1;41;13.7;10;3.3;0.65;0.77;0.47;0.9;0.5;0.8;0.26;0.47;0.19
123;Facundo Bagnis;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;Facundo Arguello;ARG;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
125;Thomaz Bellucci;BRA;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;Pere Riba;ESP;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127;Rajeev Ram;USA;2;3;1;1;52;10.4;19;3.8;0.63;0.73;0.5;0.83;0.35;0.67;0.28;0.49;0.18
128;Andrej Martin;SVK;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
