Novak Djokovic;SRB;11.360;/Tennis/Players/Top-Players/Novak-Djokovic.aspx?t=pa&
Barclays ATP World Tour Finals;2014;Hard;RR;Marin Cilic;W
Barclays ATP World Tour Finals;2014;Hard;RR;Stan Wawrinka;W
Barclays ATP World Tour Finals;2014;Hard;RR;Tomas Berdych;W
Barclays ATP World Tour Finals;2014;Hard;S;Kei Nishikori;W
Barclays ATP World Tour Finals;2014;Hard;W;Roger Federer;W
ATP World Tour Masters 1000 Paris;2014;Hard;R64;Bye;W
ATP World Tour Masters 1000 Paris;2014;Hard;R32;Philipp Kohlschreiber;W
ATP World Tour Masters 1000 Paris;2014;Hard;R16;Gael Monfils;W
ATP World Tour Masters 1000 Paris;2014;Hard;Q;Andy Murray;W
ATP World Tour Masters 1000 Paris;2014;Hard;S;Kei Nishikori;W
ATP World Tour Masters 1000 Paris;2014;Hard;W;Milos Raonic;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;R64;Bye;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;R32;Dominic Thiem;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;R16;Mikhail Kukushkin;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;Q;David Ferrer;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;S;Roger Federer;L
Beijing;2014;Hard;R32;Guillermo Garcia-Lopez;W
Beijing;2014;Hard;R16;Vasek Pospisil;W
Beijing;2014;Hard;Q;Grigor Dimitrov;W
Beijing;2014;Hard;S;Andy Murray;W
Beijing;2014;Hard;W;Tomas Berdych;W
US Open;2014;Hard;R128;Diego Schwartzman;W
US Open;2014;Hard;R64;Paul-Henri Mathieu;W
US Open;2014;Hard;R32;Sam Querrey;W
US Open;2014;Hard;R16;Philipp Kohlschreiber;W
US Open;2014;Hard;Q;Andy Murray;W
US Open;2014;Hard;S;Kei Nishikori;L
ATP World Tour Masters 1000 Cincinnati;2014;Hard;R64;Bye;W
ATP World Tour Masters 1000 Cincinnati;2014;Hard;R32;Gilles Simon;W
ATP World Tour Masters 1000 Cincinnati;2014;Hard;R16;Tommy Robredo;L
ATP World Tour Masters 1000 Canada;2014;Hard;R64;Bye;W
ATP World Tour Masters 1000 Canada;2014;Hard;R32;Gael Monfils;W
ATP World Tour Masters 1000 Canada;2014;Hard;R16;Jo-Wilfried Tsonga;L
Wimbledon;2014;Grass;R128;Andrey Golubev;W
Wimbledon;2014;Grass;R64;Radek Stepanek;W
Wimbledon;2014;Grass;R32;Gilles Simon;W
Wimbledon;2014;Grass;R16;Jo-Wilfried Tsonga;W
Wimbledon;2014;Grass;Q;Marin Cilic;W
Wimbledon;2014;Grass;S;Grigor Dimitrov;W
Wimbledon;2014;Grass;W;Roger Federer;W
Roland Garros;2014;Clay;R128;Joao Sousa;W
Roland Garros;2014;Clay;R64;Jeremy Chardy;W
Roland Garros;2014;Clay;R32;Marin Cilic;W
Roland Garros;2014;Clay;R16;Jo-Wilfried Tsonga;W
Roland Garros;2014;Clay;Q;Milos Raonic;W
Roland Garros;2014;Clay;S;Ernests Gulbis;W
Roland Garros;2014;Clay;F;Rafael Nadal;L
ATP World Tour Masters 1000 Rome;2014;Clay;R64;Bye;W
ATP World Tour Masters 1000 Rome;2014;Clay;R32;Radek Stepanek;W
ATP World Tour Masters 1000 Rome;2014;Clay;R16;Philipp Kohlschreiber;W
ATP World Tour Masters 1000 Rome;2014;Clay;Q;David Ferrer;W
ATP World Tour Masters 1000 Rome;2014;Clay;S;Milos Raonic;W
ATP World Tour Masters 1000 Rome;2014;Clay;W;Rafael Nadal;W
ATP World Tour Masters 1000 Monte Carlo;2014;Clay;R64;Bye;W
ATP World Tour Masters 1000 Monte Carlo;2014;Clay;R32;Albert Montanes;W
ATP World Tour Masters 1000 Monte Carlo;2014;Clay;R16;Pablo Carreño Busta;W
ATP World Tour Masters 1000 Monte Carlo;2014;Clay;Q;Guillermo Garcia-Lopez;W
ATP World Tour Masters 1000 Monte Carlo;2014;Clay;S;Roger Federer;L
ATP World Tour Masters 1000 Miami;2014;Hard;R128;Bye;W
ATP World Tour Masters 1000 Miami;2014;Hard;R64;Jeremy Chardy;W
ATP World Tour Masters 1000 Miami;2014;Hard;R32;Florian Mayer;W
ATP World Tour Masters 1000 Miami;2014;Hard;R16;Tommy Robredo;W
ATP World Tour Masters 1000 Miami;2014;Hard;Q;Andy Murray;W
ATP World Tour Masters 1000 Miami;2014;Hard;S;Kei Nishikori;W
ATP World Tour Masters 1000 Miami;2014;Hard;W;Rafael Nadal;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;R128;Bye;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;R64;Victor Hanescu;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;R32;Alejandro Gonzalez;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;R16;Marin Cilic;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;Q;Julien Benneteau;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;S;John Isner;W
ATP World Tour Masters 1000 Indian Wells;2014;Hard;W;Roger Federer;W
Dubai;2014;Hard;R32;Denis Istomin;W
Dubai;2014;Hard;R16;Roberto Bautista Agut;W
Dubai;2014;Hard;Q;Mikhail Youzhny;W
Dubai;2014;Hard;S;Roger Federer;L
Australian Open;2014;Hard;R128;Lukas Lacko;W
Australian Open;2014;Hard;R64;Leonardo Mayer;W
Australian Open;2014;Hard;R32;Denis Istomin;W
Australian Open;2014;Hard;R16;Fabio Fognini;W
Australian Open;2014;Hard;Q;Stan Wawrinka;L

Rafael Nadal;ESP;6.835;/Tennis/Players/Top-Players/Rafael-Nadal.aspx?t=pa&
Basel;2014;Hard;R32;Simone Bolelli;W
Basel;2014;Hard;R16;Pierre-Hugues Herbert;W
Basel;2014;Hard;Q;Borna Coric;L
ATP World Tour Masters 1000 Shanghai;2014;Hard;R64;Bye;W
ATP World Tour Masters 1000 Shanghai;2014;Hard;R32;Feliciano Lopez;L
Beijing;2014;Hard;R32;Richard Gasquet;W
