Novak Djokovic;SRB;12920;/Tennis/Players/Top-Players/Novak-Djokovic.aspx?t=pa&
Barclays ATP World Tour Finals;2012;Hard;RR;Jo-Wilfried Tsonga;W
Barclays ATP World Tour Finals;2012;Hard;RR;Andy Murray;W
Barclays ATP World Tour Finals;2012;Hard;RR;Tomas Berdych;W
Barclays ATP World Tour Finals;2012;Hard;S;Juan Martin Del Potro;W
Barclays ATP World Tour Finals;2012;Hard;W;Roger Federer;W
ATP World Tour Masters 1000 Paris;2012;Hard;R64;Bye;W
ATP World Tour Masters 1000 Paris;2012;Hard;R32;Sam Querrey;L
ATP World Tour Masters 1000 Shanghai;2012;Hard;R64;Bye;W
ATP World Tour Masters 1000 Shanghai;2012;Hard;R32;Grigor Dimitrov;W
ATP World Tour Masters 1000 Shanghai;2012;Hard;R16;Feliciano Lopez;W
ATP World Tour Masters 1000 Shanghai;2012;Hard;Q;Tommy Haas;W
ATP World Tour Masters 1000 Shanghai;2012;Hard;S;Tomas Berdych;W
ATP World Tour Masters 1000 Shanghai;2012;Hard;W;Andy Murray;W
Beijing;2012;Hard;R32;Michael Berrer;W
Beijing;2012;Hard;R16;Carlos Berlocq;W
Beijing;2012;Hard;Q;Jurgen Melzer;W
Beijing;2012;Hard;S;Florian Mayer;W
Beijing;2012;Hard;W;Jo-Wilfried Tsonga;W
US Open;2012;Hard;R128;Paolo Lorenzi;W
US Open;2012;Hard;R64;Rogerio Dutra Silva;W
US Open;2012;Hard;R32;Julien Benneteau;W
US Open;2012;Hard;R16;Stan Wawrinka;W
US Open;2012;Hard;Q;Juan Martin Del Potro;W
US Open;2012;Hard;S;David Ferrer;W
US Open;2012;Hard;F;Andy Murray;L
ATP World Tour Masters 1000 Cincinnati;2012;Hard;R64;Bye;W
ATP World Tour Masters 1000 Cincinnati;2012;Hard;R32;Andreas Seppi;W
ATP World Tour Masters 1000 Cincinnati;2012;Hard;R16;Nikolay Davydenko;W
ATP World Tour Masters 1000 Cincinnati;2012;Hard;Q;Marin Cilic;W
ATP World Tour Masters 1000 Cincinnati;2012;Hard;S;Juan Martin Del Potro;W
ATP World Tour Masters 1000 Cincinnati;2012;Hard;F;Roger Federer;L
ATP World Tour Masters 1000 Canada;2012;Hard;R64;Bye;W
ATP World Tour Masters 1000 Canada;2012;Hard;R32;Bernard Tomic;W
ATP World Tour Masters 1000 Canada;2012;Hard;R16;Sam Querrey;W
ATP World Tour Masters 1000 Canada;2012;Hard;Q;Tommy Haas;W
ATP World Tour Masters 1000 Canada;2012;Hard;S;Janko Tipsarevic;W
ATP World Tour Masters 1000 Canada;2012;Hard;W;Richard Gasquet;W
London Olympics;2012;Grass;R64;Fabio Fognini;W
London Olympics;2012;Grass;R32;Andy Roddick;W
London Olympics;2012;Grass;R16;Lleyton Hewitt;W
London Olympics;2012;Grass;Q;Jo-Wilfried Tsonga;W
London Olympics;2012;Grass;S;Andy Murray;L
London Olympics;2012;Grass;OB;Juan Martin Del Potro;L
Wimbledon;2012;Grass;R128;Juan Carlos Ferrero;W
Wimbledon;2012;Grass;R64;Ryan Harrison;W
Wimbledon;2012;Grass;R32;Radek Stepanek;W
Wimbledon;2012;Grass;R16;Viktor Troicki;W
Wimbledon;2012;Grass;Q;Florian Mayer;W
