j1_ranking_normalizado;j1_porc_victorias;j1_aces_normalizado;j1_media_1servicioganado;j1_media_juegosganadosconservicio;j1_media_breakpointganados;j1_media_juegosganadosdevolviendo;j1_racha;j2_ranking_normalizado;j2_porc_victorias;j2_aces_normalizado;j2_media_1servicioganado;j2_media_juegosganadosconservicio;j2_media_breakpointganados;j2_media_juegosganadosdevolviendo;j2_racha;clase
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.8;0.31;0.06;0.66;0.67;0.31;0.26;0.33;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.6;0.5;0.42;0.72;0.78;0.39;0.26;0.67;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.2;0.67;0.26;0.69;0.78;0.44;0.28;0.67;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;1.0;0.75;0.41;0.75;0.79;0.42;0.2;0.83;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;L
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.6;0.55;0.11;0.67;0.76;0.43;0.23;0.67;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.4;0.59;0.44;0.73;0.84;0.36;0.24;0.67;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.2;0.74;0.32;0.74;0.87;0.43;0.34;0.67;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;W
0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;0.8;0.5;0.21;0.69;0.76;0.47;0.27;0.5;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.8;0.64;0.32;0.75;0.83;0.37;0.17;1.0;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;1.0;0.59;0.01;0.79;0.86;0.38;0.21;0.67;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.74;0.32;0.74;0.87;0.43;0.34;0.67;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.2;0.87;0.31;0.72;0.81;0.43;0.33;1.0;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.4;0.33;0.69;0.75;0.44;0.34;0.33;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.4;0.43;0.19;0.69;0.75;0.41;0.24;0.5;W
0.2;0.88;0.24;0.75;0.89;0.52;0.47;1.0;0.6;0.71;0.24;0.71;0.81;0.39;0.26;0.67;W
