"","PC1","PC2","PC3","class"
"1",-0.33715596159218,-0.514994641885513,0.57044977158188,"W"
"2",-0.604803220720161,-0.225469281432296,0.349172106322124,"W"
"3",-0.717086997248814,-0.132980932952115,0.213850583699044,"W"
"4",-0.540856083047053,-0.23747544194515,0.286132526209852,"W"
"5",-0.888262880203264,0.0708586750502655,0.0372193085923903,"L"
"6",-0.535005748053624,-0.292869375614414,0.327351510216646,"W"
"7",-0.694826705568431,-0.144318918223843,0.287742792749398,"W"
"8",-0.794732196969139,-0.0526859580640418,0.218992318034751,"W"
"9",-0.888262880203264,0.0708586750502655,0.0372193085923903,"W"
"10",-0.487653912201011,-0.342939765130816,0.477707755271331,"W"
"11",-0.669071473886383,-0.257303002031594,0.162177460841853,"W"
"12",-0.542271911244571,-0.39905002954027,0.39844499457969,"W"
"13",-0.867313485095201,-0.123544633114308,0.181773009442486,"W"
"14",-0.888262880203264,-0.0708586750502675,-0.0372193085921266,"W"
"15",-0.668630702880076,-0.351265758683187,0.464282933131938,"W"
"16",-0.647445255017867,-0.356161887699499,0.36763312447669,"W"
"17",-0.675460206979261,-0.288624248174782,0.249075255796527,"W"
"18",-0.888262880203264,-0.0708586750502675,-0.0372193085921266,"L"
"19",-0.734384201611353,-0.229225399819296,0.109767630210957,"W"
"20",-0.536190039274674,-0.456032706384477,0.399242827438418,"W"
"21",-0.486955354386661,-0.453354436028066,0.175315378575583,"W"
"22",-0.546390218535631,-0.441112795488519,0.516800005802502,"W"
"23",-0.45776297022919,-0.531705569744777,0.50435798114263,"W"
"24",-0.892888513836003,-0.0898341279189854,0.263056769999246,"L"
"25",-0.303126133144235,-0.655286652364807,0.381993319632814,"W"
"26",-0.698506482054617,-0.306108236276819,0.387237580768221,"W"
"27",-0.867313485095201,-0.123544633114308,0.181773009442486,"L"
"28",-0.496955013009115,-0.477544753417584,0.430249754336784,"W"
"29",-0.409737249718242,-0.58585331693578,0.533230462989615,"W"
"30",-0.548146305107728,-0.438083550343086,0.351210056179533,"W"
"31",-0.717521322344531,-0.285288708098298,0.398459513069456,"W"
"32",-0.311038825204066,-0.441795611734823,0.330213862428914,"W"
"33",-0.604975798820491,-0.18256360316251,0.205464571325803,"W"
"34",-0.454615621873602,-0.314538917228777,0.169437046737115,"W"
"35",-0.575540790652257,-0.133758368917286,-0.0195955486005653,"L"
"36",-0.477299239311784,-0.26391708716878,0.124133893546069,"L"
"37",-0.375113322719952,-0.416714195119818,0.500894733871079,"W"
